ID,NAME,TRAFFIC,BIRTHDAY,CITY,STREET,HOME
2acc7dd3-e10a-5d2e-987d-90e841b0182a,Ivan,592940648470.9376,12/28/1958,WI,Nocke Center,04
acc3a2f8-b5c2-5e01-bac6-47d914ebfa0d,Ronald,251034553286.656,1/25/1988,ID,Wacci River,46
75e68e04-c481-5819-834f-0fb30bd84fea,Lucinda,295227033754.0096,1/4/1972,TX,Fimal Junction,66
172545c0-2f2a-58a5-b9f0-b99618ba83ad,Maggie,149517123767.5008,9/28/1981,NC,Tevu Avenue,49
3e85672c-ef1c-5a4b-8c3a-71e6c3d31dd3,Ina,366821160622.4896,1/30/1991,NV,Ujida Square,48
437693ef-34a6-55ad-9c40-8c1001e2ef5a,Jesse,249764736139.264,1/16/1958,TN,Wopo Court,76
ee437dba-0c50-512f-9186-1c0cfb3a7e04,Russell,779446848480.8704,10/11/1973,VA,Cigem Road,61
737965dc-1927-53cb-bf7b-7cba9cace122,Isaiah,877215276125.3888,8/19/1995,WY,Inalac Glen,18
bd9f7ae9-d248-559b-b4a2-0c966a2f4d6e,Emilie,899807804024.4224,6/21/1996,IN,Pofuba Court,10
737f1699-8213-5bbd-bd14-282363e0abd6,Tillie,571767294368.1536,2/7/2002,OK,Alla Park,34
ed8cdf6e-1659-5039-aa19-12382446847e,Nora,513929352996.4544,10/15/1994,NH,Butid Plaza,31
9037e623-713e-5216-8313-39af213232b0,Lawrence,494829068038.9632,9/15/1974,NJ,Motohe Pass,24
6eeacac5-0e33-5369-90c0-06f7b9070fd6,Vera,219032845077.7088,11/23/1961,WA,Tahze Way,46
132d6a1e-cb5c-50b9-b65b-c17af7eeb147,Wesley,242299275155.8656,6/12/1997,MI,Pudfif Way,98
5c5ecf0e-6a29-5e4a-b72d-82e4bbf797f8,Alice,462914543052.3904,3/24/1992,WY,Pajmim Path,13
bbbc32b7-5aa8-5d45-a1c5-bc684feacb9c,Louise,609878054587.5968,1/11/1968,CA,Odri Road,37
c3cccf88-7608-5247-9780-a9a29cf5d1ab,Anne,405927026596.2496,2/3/1960,UT,Ranaz Circle,07
f6590e83-aa0b-56a6-8938-5eb3cf6f2932,Andrew,778289588417.3312,5/9/1996,HI,Teto Mill,00
78895ec4-8ca5-57b2-b624-906a12534305,Charlotte,435139960111.104,12/7/1977,CO,Izefa River,14
c1398b60-79c2-5de3-8242-f0a6084bc8a7,Michael,127551523939.9424,1/30/1957,NE,Piwkoj Grove,36
a0e27e75-c249-5435-bfb8-e251fc86f5de,Rodney,16769951046.0416,10/21/1968,MT,Botej Trail,82
32330137-c853-5e71-a0ff-b7188d6672b8,Pauline,77063856219.7504,6/22/1995,ND,Loje Path,10
f77b018e-7e87-51e5-859c-68ab2d90270a,Jeremy,183746139940.4544,12/14/1999,MT,Kuzug Glen,05
c9bd48e6-55d0-541b-8824-c0f27c43daac,Sophie,772200789442.56,2/5/1963,WV,Fupeb Plaza,58
8247f425-27c9-568b-80a8-4e86933acdcc,Stephen,863802404477.3376,2/16/1999,MA,Zika Court,20
33076216-f0f8-5f52-b834-ac9b53e7329a,Eugene,265469042045.7472,10/2/1987,OK,Iwefi Square,01
283003e6-5c45-531a-804c-de5dd797deb0,Sue,839533966917.632,12/6/1997,ID,Gafa Path,16
9eb2de74-9dc2-5fec-8cc8-5a3e1b2584aa,Ethan,102070960626.0736,5/16/1986,MI,Dosa Extension,56
fec7375b-7b0f-5c69-b034-b2e732f125c2,Inez,224933818086.1952,8/29/1962,MA,Wadiwi Pass,37
6be0f9b7-e754-5220-94f6-b81c66082a2d,Elijah,839170194931.712,6/8/1963,CO,Lojke Parkway,80
bc4f525b-0fd3-5bc8-b978-c391ec398efc,Loretta,9722239805.0304,2/11/2004,VA,Cuwi Parkway,28
2e2537af-1e15-55fb-9eaa-e42c14803bfb,Katharine,784349107375.3088,5/31/1986,WI,Piot Avenue,43
d4a12772-e259-543b-a0a0-d8a52e5148e6,Ruth,800377785653.6576,5/13/1996,WA,Fuig Glen,24
299b722e-5ad5-5db2-92d2-c84720dacab0,Nancy,215994227018.9568,12/14/2004,IA,Kawzi Court,50
26170008-b9e2-5de1-a5bf-52387fcc1e94,Rodney,757086511798.6816,8/24/1993,MA,Lesuw Pass,83
a4e08d24-ea68-5ac9-b160-2549fb66b59f,Lula,795287358118.2976,7/21/1971,WY,Siwpi Parkway,51
c724f083-c08a-5337-b810-3e3d84f527cd,Craig,784182357786.624,10/7/1982,OH,Kosa Court,28
78b8fe33-7d65-5b3c-a00e-0addd3be0dc3,Rosa,95337003456.9216,12/30/1964,WA,Vemic Terrace,02
87556820-de01-5c3a-ac06-48ef39c69334,Ray,15553520258.2528,12/25/1962,MD,Uzoata Drive,36
fcb54914-67b2-5aca-8e15-584a76131086,Shane,374783308149.5552,1/12/1968,MI,Ruew Pike,62
a7178f88-969f-5da6-be74-5a4c33ccd063,Lily,423075892743.3728,7/31/1960,PA,Upenuk Pike,54
b38e470f-4fa8-537a-9d22-9a1c7b15a605,Erik,224959218791.2192,3/19/1987,OR,Zabigu Mill,72
eead9319-541b-57ac-b514-500dc8911098,Hettie,245514004070.4,12/31/1985,WY,Faik Street,87
69a2ca7a-d650-5460-aeec-dcfa3d97e2ad,Jose,262149342704.4352,6/4/1990,CO,Vitav Ridge,07
676ce566-339f-57dc-a3c9-3ab497fb5603,Herbert,53839560022.4256,12/10/1974,TN,Fajuj Lane,73
3cdb4897-360d-5132-98b1-fa0a1189d7a5,Cole,173401957833.1136,6/27/1988,NY,Vumge Place,35
a86e5ecc-46ac-58dc-9e95-2d3fd1bd65e2,Agnes,723345685348.352,2/18/1978,DE,Mupa Drive,87
1600c11b-43d2-5bf2-b616-fb9318763022,Leona,439885365457.7152,7/22/1986,DE,Binhu Parkway,26
9ae4bb28-bd2f-5e81-815c-dff3d990fb2a,Dale,31262883237.0688,11/8/1994,LA,Balnar Street,68
73bd17dd-7efe-5869-8750-6cdc24a0e532,Billy,421810427186.3808,8/3/1977,AK,Giwvon Square,45
af5d527d-f1a5-586a-8ee5-8c934d6aa361,Lula,371930756965.9904,1/8/1966,IN,Fabmu Terrace,60
a1ab78e7-a9c9-5c6a-ae0a-4446dae110fb,Minnie,557804797768.4991,4/22/2003,ND,Atpaj Boulevard,65
cebe6b2b-0076-5987-b188-776d9f591147,Violet,268105180984.1152,12/14/1960,AR,Rufcu Street,02
9605bc7b-df62-5c49-8586-2f28fb7d1219,Alex,534859596850.7904,10/22/1985,MT,Lolfej Road,90
