ID,NAME,TRAFFIC,BIRTHDAY,CITY,STREET,HOME
ec662172-f509-5b9e-9be5-49aaa0ab4d10,Brent,30680182842.9824,7/24/1982,KS,Noki Parkway,61
fe499c2f-138a-5a82-955b-43ec1baaa195,Lottie,282624424463.5648,4/8/1992,NM,Nieg Highway,61
b4b2d2cd-8a63-58d8-9f05-a47b675249e0,Jacob,282255492644.864,5/13/1971,IN,Decov Square,19
ca21cbe0-25e7-500d-9549-f9914b2d71f2,Shane,380275559655.0144,6/8/2000,OK,Widpu Turnpike,65
03ec9cec-2632-538e-a5e2-95566419ac97,Nora,407897625119.9488,10/30/1986,ME,Ilmud Parkway,36
d36c3d44-3479-5874-b8ac-b988e9b53aa3,Owen,757718714207.4368,12/2/1962,OR,Dueru View,15
eedb0326-6487-58b2-b5ad-834b49a1fc68,Emilie,480786094909.0304,10/5/1970,ID,Lose Street,50
2c12298a-dbbf-5200-92a2-c38b3ca25e41,Milton,492614804779.8272,3/19/1995,NC,Zoluf Loop,58
da6d4d6f-9956-532f-ac7a-a6aea4ad7cac,Mario,13614592924.0576,2/6/1963,AK,Vatna Trail,80
3bad1345-196a-58f2-b6b2-35ed43201f24,Eugene,396242962507.3664,7/15/1970,UT,Bajof Terrace,76
20681e8a-f1bc-58e1-8473-215110ac94ef,Janie,570793866454.6304,1/27/2003,KY,Kefi Center,73
2d9c4be1-2d0c-5d5a-88fb-bf6d177cab0a,Charlotte,604525709125.2224,5/13/1963,AK,Bodu Manor,17
d962924d-b75f-569d-bee3-ae841859b0a1,Jerry,1512268051.2512,9/19/1970,MI,Cezoc Extension,01
d2e9d495-4271-5d91-8f97-51cd8525344f,Martha,398387992487.5264,2/3/1985,LA,Colgaz Point,90
905d478e-eda9-54a6-9b86-02f8445997dd,Ann,258789345329.152,8/23/1987,NH,Juglov Avenue,50
2bffefab-35d2-5ad7-ac84-ae2508d412b4,Rena,777970336451.7888,7/28/1988,DE,Jeuw Grove,04
d35f72d9-3843-511f-886b-0ffee0569812,Janie,730108634805.0432,9/12/1991,ME,Upoku Circle,12
c37fb0d7-c919-5c18-a566-bb47bb367d77,Earl,491543619384.1152,3/4/1965,MD,Otfar Square,83
30e7f1f9-90fb-58bc-993b-710f3ded9ea5,Lily,571632939905.8431,5/15/1972,PA,Nodku Circle,50
